Tipo Estelar,Q1,Mediana,Q3,IIQ
Anã Marrom,2812.75,2935.0,3242.5,429.75
Anã Vermelha,3132.75,3314.0,3527.5,394.75
Anã Branca,9488.75,13380.0,17380.0,7891.25
Seq. Principal,7479.25,12560.5,23030.0,15550.75
Supergigante,6899.5,12821.0,23181.25,16281.75
Hipergigante,3603.75,3766.0,18976.0,15372.25
