Tipo,Q1,Mediana,Q3,IIQ
Anã Marrom,3.4491,3.4676,3.5109,0.0617
Anã Vermelha,3.4959,3.5204,3.5475,0.0515
Anã Branca,3.977,4.1265,4.24,0.263
Seq. Principal,3.8732,4.0987,4.3617,0.4886
Supergigante,3.8366,4.1079,4.3651,0.5285
Hipergigante,3.5568,3.5759,4.2766,0.7198
