Tipo,Q1,Mediana,Q3,IIQ
Anã Marrom,16.7,17.145,18.3525,1.6525
Anã Vermelha,11.3675,12.605,13.5642,2.1967
Anã Branca,11.595,12.34,13.83,2.235
Seq. Principal,-3.7025,-1.18,2.425,6.1275
Supergigante,-6.8075,-6.235,-5.9612,0.8463
Hipergigante,-10.875,-9.915,-8.1475,2.7275
