Tipo,Q1,Mediana,Q3,IIQ
Anã Marrom,-1.0308,-0.9749,-0.9199,0.1109
Anã Vermelha,-0.6198,-0.4711,-0.3885,0.2313
Anã Branca,-2.0313,-1.9915,-1.9199,0.1114
Seq. Principal,0.1086,0.7568,0.804,0.6954
Supergigante,1.4107,1.6382,1.9044,0.4937
Hipergigante,3.0766,3.1311,3.1833,0.1066
