Tipo,Q1,Mediana,Q3,IIQ
Anã Marrom,0.0003,0.0005,0.0007,0.0004
Anã Vermelha,0.0013,0.0032,0.0067,0.0054
Anã Branca,0.0003,0.0008,0.0012,0.0009
Seq. Principal,6.2975,738.5,12962.5,12956.2025
Supergigante,197250.0,242145.0,344160.0,146910.0
Hipergigante,173000.0,266500.0,365957.5,192957.5
