Tipo Estelar,Q1,Mediana,Q3,IIQ
Anã Marrom,0.0268,0.0458,0.0571,0.0303
Anã Vermelha,0.0111,0.0331,0.0773,0.0661
Anã Branca,2.979,8.0255,9.4312,6.4522
Seq. Principal,2.2139,19.0051,333.3209,331.107
Supergigante,59.9479,102.1113,380.6246,320.6767
Hipergigante,0.0955,0.1453,0.1964,0.1009
