Tipo Estelar,Q1,Mediana,Q3,IIQ
Anã Marrom,-1.5714,-1.3389,-1.243,0.3284
Anã Vermelha,-1.9535,-1.4813,-1.1125,0.841
Anã Branca,0.4693,0.9045,0.9746,0.5052
Seq. Principal,0.3332,1.2737,2.5194,2.1861
Supergigante,1.7777,2.0087,2.5805,0.8028
Hipergigante,-1.02,-0.8377,-0.7069,0.313
